from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_route_id,to_route_id,from_trip_id,to_trip_id
472261,200901,2,0,0,0,0,0
80381,125756,2,0,0,0,0,0
125756,80381,2,0,0,0,0,0
473481,665619,2,0,0,0,0,0
665619,473481,2,0,0,0,0,0
62354,53916,2,0,0,0,0,0
53916,62354,2,0,0,0,0,0
200864,495579,2,44,0,0,0,0
495579,200864,2,44,0,0,0,0
15777,48975,2,88,0,0,0,0
48975,15777,2,88,0,0,0,0
102949,169683,2,23,0,0,0,0
169683,102949,2,23,0,0,0,0
208778,589712,2,11,0,0,0,0
589712,208778,2,11,0,0,0,0
208778,421477,2,109,0,0,0,0
421477,208778,2,109,0,0,0,0
208778,REG_354166,2,112,0,0,0,0
REG_354166,208778,2,112,0,0,0,0
208778,REG_392725,2,23,0,0,0,0
REG_392725,208778,2,23,0,0,0,0
208778,REG_587601,2,27,0,0,0,0
REG_587601,208778,2,27,0,0,0,0
589712,421477,2,112,0,0,0,0
421477,589712,2,112,0,0,0,0
589712,REG_354166,2,115,0,0,0,0
REG_354166,589712,2,115,0,0,0,0
589712,REG_392725,2,12,0,0,0,0
REG_392725,589712,2,12,0,0,0,0
589712,REG_587601,2,33,0,0,0,0
REG_587601,589712,2,33,0,0,0,0
421477,REG_354166,2,215,0,0,0,0
REG_354166,421477,2,215,0,0,0,0
421477,REG_392725,2,117,0,0,0,0
REG_392725,421477,2,117,0,0,0,0
421477,REG_587601,2,84,0,0,0,0
REG_587601,421477,2,84,0,0,0,0
612840,464460,2,0,0,0,0,0
464460,612840,2,0,0,0,0,0
456478,33222,2,88,0,0,0,0
33222,456478,2,88,0,0,0,0
378716,613700,2,0,0,0,0,0
613700,378716,2,0,0,0,0,0
340051,130738,2,0,0,0,0,0
130738,340051,2,0,0,0,0,0
537816,423355,2,0,0,0,0,0
423355,537816,2,0,0,0,0,0
318136,268205,2,0,0,0,0,0
268205,318136,2,0,0,0,0,0
655965,178103,2,44,0,0,0,0
178103,655965,2,44,0,0,0,0
655965,262975,2,47,0,0,0,0
262975,655965,2,47,0,0,0,0
655965,286325,2,55,0,0,0,0
286325,655965,2,55,0,0,0,0
655965,322094,2,33,0,0,0,0
322094,655965,2,33,0,0,0,0
655965,341869,2,29,0,0,0,0
341869,655965,2,29,0,0,0,0
655965,38228,2,55,0,0,0,0
38228,655965,2,55,0,0,0,0
655965,474769,2,4,0,0,0,0
474769,655965,2,4,0,0,0,0
655965,70123,2,18,0,0,0,0
70123,655965,2,18,0,0,0,0
655965,REG_476969,2,12,0,0,0,0
REG_476969,655965,2,12,0,0,0,0
178103,262975,2,90,0,0,0,0
262975,178103,2,90,0,0,0,0
178103,286325,2,99,0,0,0,0
286325,178103,2,99,0,0,0,0
178103,322094,2,77,0,0,0,0
322094,178103,2,77,0,0,0,0
178103,341869,2,15,0,0,0,0
341869,178103,2,15,0,0,0,0
178103,38228,2,12,0,0,0,0
38228,178103,2,12,0,0,0,0
178103,474769,2,41,0,0,0,0
474769,178103,2,41,0,0,0,0
178103,70123,2,27,0,0,0,0
70123,178103,2,27,0,0,0,0
178103,REG_476969,2,55,0,0,0,0
REG_476969,178103,2,55,0,0,0,0
262975,286325,2,9,0,0,0,0
286325,262975,2,9,0,0,0,0
262975,322094,2,14,0,0,0,0
322094,262975,2,14,0,0,0,0
262975,341869,2,76,0,0,0,0
341869,262975,2,76,0,0,0,0
262975,38228,2,102,0,0,0,0
38228,262975,2,102,0,0,0,0
262975,474769,2,50,0,0,0,0
474769,262975,2,50,0,0,0,0
262975,70123,2,64,0,0,0,0
70123,262975,2,64,0,0,0,0
262975,REG_476969,2,36,0,0,0,0
REG_476969,262975,2,36,0,0,0,0
286325,322094,2,23,0,0,0,0
322094,286325,2,23,0,0,0,0
286325,341869,2,84,0,0,0,0
341869,286325,2,84,0,0,0,0
286325,38228,2,110,0,0,0,0
38228,286325,2,110,0,0,0,0
286325,474769,2,59,0,0,0,0
474769,286325,2,59,0,0,0,0
286325,70123,2,73,0,0,0,0
70123,286325,2,73,0,0,0,0
286325,REG_476969,2,44,0,0,0,0
REG_476969,286325,2,44,0,0,0,0
322094,341869,2,62,0,0,0,0
341869,322094,2,62,0,0,0,0
322094,38228,2,88,0,0,0,0
38228,322094,2,88,0,0,0,0
322094,474769,2,36,0,0,0,0
474769,322094,2,36,0,0,0,0
322094,70123,2,50,0,0,0,0
70123,322094,2,50,0,0,0,0
322094,REG_476969,2,22,0,0,0,0
REG_476969,322094,2,22,0,0,0,0
341869,38228,2,26,0,0,0,0
38228,341869,2,26,0,0,0,0
341869,474769,2,26,0,0,0,0
474769,341869,2,26,0,0,0,0
341869,70123,2,12,0,0,0,0
70123,341869,2,12,0,0,0,0
341869,REG_476969,2,41,0,0,0,0
REG_476969,341869,2,41,0,0,0,0
38228,474769,2,52,0,0,0,0
474769,38228,2,52,0,0,0,0
38228,70123,2,38,0,0,0,0
70123,38228,2,38,0,0,0,0
38228,REG_476969,2,67,0,0,0,0
REG_476969,38228,2,67,0,0,0,0
