route_id,service_id,trip_id
15,273,105925
15,316,1010504
15,316,1309144
15,316,1490138
15,316,639961
15,316,845772
15,346,946126
15,390,1153382
15,464,1203719
15,464,1290728
15,472,1183506
15,49,695281
15,49,941717
15,50,1010882
15,50,1068367
15,50,249199
15,50,489253
15,50,686456
15,50,706226
15,50,730799
15,50,749988
15,50,839390
15,50,895105
15,50,899710
15,509,1190821
15,509,1334506
15,509,1461515
15,509,250915
15,509,435434
15,509,465104
15,509,498995
15,509,711955
15,509,841254
15,509,906714
15,545,1292922
15,551,621118
15,586,364308
15,65,165986
15,65,545055
15,653,878788
15,772,262253
15,777,520893
15,796,797569
15,804,1080741
15,804,577272
15,86,692745
15,879,943727
15,89,206788
15,89,315937
15,892,782432
15,903,475520
15,904,1497844
16,102,432412
16,121,1055844
16,121,1187958
16,121,1228449
16,121,1279839
16,121,1326400
16,121,1435453
16,121,1444464
16,121,1447959
16,121,177773
16,121,188034
16,121,394514
16,121,562473
16,121,742018
16,121,940919
16,157,1111745
16,168,376203
16,218,256228
16,225,787022
16,256,229922
16,274,173226
16,290,1228739
16,331,1025088
16,348,125623
16,354,527678
16,393,1030949
16,393,1249046
16,393,377861
16,435,406907
16,446,1416362
16,461,1362346
16,471,195649
16,480,1264751
16,480,1322823
16,480,143939
16,480,1468801
16,480,165588
16,480,252090
16,480,268272
16,480,494637
16,480,511624
16,480,735811
16,480,869859
16,485,1012213
16,485,1334606
16,485,1475715
16,485,193420
16,485,229871
16,485,3738
16,485,578904
16,485,633771
16,485,753555
16,485,895652
16,485,901150
16,490,1469146
16,501,71898
16,511,1334211
16,542,567778
16,560,1085943
16,560,1456672
16,591,1254343
16,616,79635
16,616,860673
16,645,127763
16,665,1214291
16,724,256847
16,738,1152193
16,772,1362641
16,772,1435692
16,772,22645
16,772,346849
16,772,714119
16,772,733993
16,772,902346
16,798,167491
16,798,544860
16,804,1288399
16,841,119784
16,841,30240
16,842,863208
16,869,1468073
16,876,6960
16,899,1021575
16,940,1479167
16,940,483548
17,118,571276
17,144,145505
17,166,719972
17,166,937520
17,195,557446
17,213,1238152
17,216,318152
17,216,346268
17,233,1448940
17,235,1081243
17,24,615100
17,303,759856
17,324,1138187
17,326,1232799
17,331,1034278
17,331,1239756
17,331,343669
17,335,1311600
17,337,915129
17,34,1380936
17,346,1006085
17,346,1053282
17,346,1469396
17,346,229636
17,346,24364
17,377,1068536
17,396,227977
17,420,1149948
17,438,635409
17,445,1440256
17,501,621377
17,512,1296865
17,512,790056
17,536,211036
17,54,737562
17,550,675635
17,594,675048
17,594,789949
17,612,382564
17,616,1159593
17,616,253974
17,671,564328
17,700,664828
17,772,442336
17,795,1079739
17,795,96903
17,798,179656
17,798,804028
17,827,358452
17,89,541746
17,905,1181938
17,918,821651
17,962,1265681
17,962,1479192
17,963,246413
17,966,42834
18,142,1268572
18,277,405961
18,284,183296
18,337,695077
18,346,469090
18,346,514174
18,346,537011
18,346,773466
18,352,237195
18,361,208476
18,362,1000427
18,362,1109352
18,362,465306
18,362,751317
18,37,1375237
18,413,4404
18,433,1425803
18,467,666967
18,534,845440
18,593,1457582
18,596,1257569
18,629,1225186
18,633,1122248
18,633,1221055
