stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type,platform_code
Vojtanov,546964.0,REG_485557,50.16775,12.327484,,
Vojtanov obec,,REG_179907,50.162678,12.313,1.0,
Vojtanov obec,179907.0,REG_56020,50.162678,12.313,,
Vojtanov(Gr),,REG_120597,50.21374,12.327433,1.0,
Vojtanov(Gr),120597.0,REG_296109,50.21374,12.327433,,
Volkmarsen,,REG_178045,51.407566,9.117226,1.0,
Volkmarsen,178045.0,REG_226327,51.407566,9.117226,,
Volpriehausen,,REG_508371,51.66097,9.737822,1.0,
Volpriehausen,508371.0,REG_679495,51.66097,9.737822,,
Vorhop,72954.0,REG_347626,52.64804,10.656384,,
"Vorhop, Bahnhof",,REG_72954,52.64674,10.654244,1.0,
Vormwald,230821.0,REG_420609,50.98042,8.143094,,
Vormwald Bf,,REG_230821,50.98042,8.143093,1.0,
Vormwald Dorf,623560.0,REG_76369,50.98993,8.127215,,
Vormwald Dorf Bf,,REG_623560,50.989933,8.12722,1.0,
Voßloch,,REG_401621,53.790344,9.734659,1.0,
Voßloch,401621.0,REG_622069,53.79059,9.735862,,
Vratislavice n.Nisou,,REG_286495,50.740257,15.093601,1.0,
Vratislavice n.Nisou,286495.0,REG_521547,50.740143,15.093466,,
"Vrchlabi, Podhuri Bf",,REG_324903,50.600708,15.624766,1.0,
"Vrchlabi, Podhuri Bf",324903.0,REG_590129,50.600708,15.624766,,
"Vrchlabí, Bf",,REG_91796,50.618675,15.622853,1.0,
"Vrchlabí, Bf",91796.0,REG_585704,50.618675,15.622853,,
Vrátno,,REG_299673,50.44283,14.686557,1.0,
Vrátno,299673.0,REG_324095,50.442947,14.686413,,
Vsestary,,REG_70974,50.25245,15.764391,1.0,
Vsestary,70974.0,REG_1319,50.252632,15.764589,,
Vsetaty,,REG_490814,50.2824,14.584858,1.0,
Vsetaty,490814.0,REG_390322,50.282345,14.58511,,
Vysoka Pec,,REG_203319,50.34195,12.712069,1.0,
Vysoka Pec,203319.0,REG_304117,50.34195,12.712069,,
Vöcklabruck,,REG_388388,48.010067,13.663703,1.0,
Vöcklabruck,388388.0,REG_509427,48.010067,13.663703,,
Vöcklamarkt,,REG_603967,47.998035,13.489546,1.0,
Vöcklamarkt,603967.0,REG_508215,47.998035,13.489546,,
Vöhl-Ederbringhausen,,REG_281952,51.129566,8.871803,1.0,
Vöhl-Ederbringhausen,281952.0,REG_139195,51.129566,8.871803,,
Vöhl-Herzhausen,,REG_65786,51.181225,8.884998,1.0,
Vöhl-Herzhausen,65786.0,REG_522648,51.181225,8.884998,,
Vöhl-Schmittlotheim,,REG_310535,51.15288,8.901723,1.0,
Vöhl-Schmittlotheim,310535.0,REG_148140,51.156837,8.900261,,
Vöhl-Thalitter,,REG_346562,51.218704,8.897046,1.0,
Vöhl-Thalitter,346562.0,REG_60644,51.21744,8.895033,,
Vöhringen,69080.0,REG_248694,48.279087,10.083628,,
Vöhringen Bahnhof,,REG_69080,48.27892,10.083436,1.0,
Vöhrum,166897.0,REG_310488,52.33543,10.168802,,
"Vöhrum, Bahnhof",,REG_166897,52.33582,10.167635,1.0,
Völklingen,,REG_404243,49.249092,6.84815,1.0,
Völklingen,404243.0,REG_110563,49.2488,6.848863,,1
Völklingen,404243.0,REG_363650,49.248844,6.848513,,2
Völksen Bahnhof,,REG_350304,52.21228,9.6272,1.0,
Völksen/Eldagsen,350304.0,REG_228552,52.211876,9.626528,,
Wabern(Bz Kassel),,REG_238137,51.103134,9.35804,1.0,
Wabern(Bz Kassel),238137.0,REG_521533,51.103134,9.35804,,
Wachenheim(Pfalz),2766.0,REG_358176,49.4393,8.191152,,
"Wachenheim/Wstr, Bahnhof",,REG_2766,49.439285,8.191135,1.0,
Wackershofen,524742.0,REG_379637,49.13725,9.697115,,
Wackershofen Bahnhof (Freilandmuseum),,REG_524742,49.13721,9.69734,1.0,
Waffenbrunn,,REG_423938,49.26154,12.675031,1.0,
Waffenbrunn,423938.0,REG_312150,49.26154,12.675032,,
Waghäusel,300832.0,REG_1862,49.248184,8.508313,,
Waghäusel Bahnhof,,REG_300832,49.24795,8.50842,1.0,
Waging,,REG_483679,47.931618,12.727088,1.0,
Waging,483679.0,REG_327346,47.931618,12.727085,,
Wahlbach Bf,,REG_103364,50.758415,8.053783,1.0,
Wahlbach(Kr Siegen),103364.0,REG_254312,50.758415,8.053783,,
Wahlheim,9703.0,REG_659255,49.719105,8.09992,,
"Wahlheim, Bahnhof",,REG_9703,49.719154,8.100064,1.0,
Wahlitz,,REG_474770,52.109177,11.788868,1.0,
Wahlitz,474770.0,REG_261369,52.109177,11.788868,,
Wahlstedt,,REG_525018,53.961094,10.229779,1.0,
Wahlstedt,525018.0,REG_602196,53.961224,10.229581,,
Wahlwies,644242.0,REG_510423,47.814175,8.965227,,
Wahlwies Bahnhof,,REG_644242,47.814293,8.965079,1.0,
Wahrenholz,279228.0,REG_336982,52.608,10.606954,,
"Wahrenholz, Bahnhof",,REG_279228,52.60812,10.60675,1.0,
Waiblingen,,REG_238441,48.82629,9.300447,1.0,
Waiblingen,238441.0,REG_333368,48.826122,9.299882,,
Waibstadt,316288.0,REG_540752,49.30094,8.919354,,
"Waibstadt, Bahnhof",,REG_316288,49.30103,8.919067,1.0,
Waigolshausen,,REG_380180,49.96729,10.116027,1.0,
Waigolshausen,380180.0,REG_485608,49.967293,10.116027,,
Wakendorf,,REG_489727,53.866177,10.366096,1.0,
Wakendorf,489727.0,REG_564209,53.866264,10.365953,,
Walbourg,,REG_489089,48.886044,7.809405,1.0,
Walbourg,489089.0,REG_162333,48.886044,7.809405,,
Walddrehna,420211.0,REG_43111,51.772648,13.617211,,1
"Walddrehna, Bahnhof",,REG_420211,51.77282,13.617379,1.0,
Waldenburg(Württ),,REG_649304,49.20246,9.659189,1.0,
Waldenburg(Württ),649304.0,REG_89993,49.202538,9.658699,,
Waldershof,,REG_586419,49.98323,12.057996,1.0,
Waldershof,586419.0,REG_43534,49.98323,12.057994,,
Waldfischbach,293545.0,REG_467679,49.288338,7.651516,,
"Waldfischbach, Bahnhof",,REG_293545,49.288345,7.651643,1.0,
Waldhausen(b Schorndorf),602185.0,REG_595738,48.789185,9.637927,,
Waldheim,363936.0,REG_566389,51.075817,13.013923,,
"Waldheim, Bahnhof",,REG_363936,51.074665,13.013732,1.0,
"Waldhof, Bahnhof",,REG_594076,49.52582,8.482297,1.0,
Waldkirch,608299.0,REG_348590,48.09569,7.957245,,
Waldkirch (Brsg) Bahnhof,,REG_608299,48.095684,7.957205,1.0,
Waldkirchen(Erzgeb),419440.0,REG_417672,50.762714,13.090571,,
"Waldkirchen, Bahnhof",,REG_419440,50.7644,13.092173,1.0,
Waldkraiburg-Kraiburg,,REG_525256,48.20295,12.408016,1.0,
Waldkraiburg-Kraiburg,525256.0,REG_505343,48.202953,12.408022,,
